key,registrationMoment,passengerEmail,description,type,indicator,publish,key:assistanceAgent,key:leg
# base entity
claim-01,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01

# registrationMoment - standard variations
claim-02,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-03,2000/01/01 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-04,2000/01/01 00:01,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-05,2024/12/31 23:59,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-06,2025/01/01 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01

# passengerEmail - standard variations
claim-07,2012/07/02 00:00,"acme@lorem-ipsum.org","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-08,2012/07/02 00:00,"acmepassword@lorem-ipsum.org","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-09,2012/07/02 00:00,"a@b.e","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-10,2012/07/02 00:00,"a@b.es","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-11,2012/07/02 00:00,"a@b.esx","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-12,2012/07/02 00:00,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu","Viaje ruidoso",LUGGAGE_ISSUES,false,true,agent-01,leg-01
claim-13,2012/07/02 00:00,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","Viaje ruidoso",LUGGAGE_ISSUES,false,true,agent-01,leg-01

# description - standard variations
claim-14,2012/07/02 00:00,"joel@acme.com",Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,LUGGAGE_ISSUES,false,true,agent-01,leg-01
claim-15,2012/07/02 00:00,"joel@acme.com",L,LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-16,2012/07/02 00:00,"joel@acme.com",Lo,LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-17,2012/07/02 00:00,"joel@acme.com",Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor,LUGGAGE_ISSUES,false,true,agent-01,leg-01
claim-18,2012/07/02 00:00,"joel@acme.com",Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,LUGGAGE_ISSUES,false,true,agent-01,leg-01

# description - no singular values
claim-19,2012/07/02 00:00,"joel@acme.com","โลเร็ม อิปซัม",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-20,2012/07/02 00:00,"joel@acme.com",โلوريم إيبسوم,LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-21,2012/07/02 00:00,"joel@acme.com","洛伦·伊普森",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-22,2012/07/02 00:00,"joel@acme.com","<marquee>Hacked</marquee>",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-23,2012/07/02 00:00,"joel@acme.com","<script>alert(‘Hacked!’);</script>",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-24,2012/07/02 00:00,"joel@acme.com","' or 'A' = 'A",LUGGAGE_ISSUES,false,false,agent-01,leg-01

# type - standard variations
claim-25,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-26,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",FLIGHT_ISSUES,false,false,agent-01,leg-01
claim-27,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",SECURITY_INCIDENT,false,false,agent-01,leg-01
claim-28,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",OTHER_ISSUES,false,false,agent-01,leg-01

# indicator - standard variations
claim-29,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-30,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,true,false,agent-01,leg-01

# publish - standard variations
claim-31,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,false,agent-01,leg-01
claim-32,2012/07/02 00:00,"joel@acme.com","Viaje ruidoso",LUGGAGE_ISSUES,false,true,agent-01,leg-01

#test
